Year,Model,Config,MPGe_combined,MPGe_city,MPGe_highway,price_low,price_high,range_in_miles
2018,2018 Tesla Model X P100D,"Automatic (A1), Electricity",85,83,89,140000.0,140000.0,289
2018,2018 BYD e6,"Automatic (A1), Electricity",72,73,71,,,187
2019,2019 Hyundai Ioniq Electric,"Automatic (A1), Electricity",136,150,122,30315.0,36815.0,124
2019,2019 Tesla Model 3 Standard Range Plus,"Automatic (A1), Electricity",133,140,124,39490.0,39490.0,240
2019,2019 Tesla Model 3 Standard Range,"Automatic (A1), Electricity",131,138,124,35000.0,35000.0,220
2019,2019 Tesla Model 3 Long Range,"Automatic (A1), Electricity",130,136,123,43000.0,47990.0,310
2019,2019 Tesla Model 3 Mid Range,"Automatic (A1), Electricity",123,128,117,44000.0,44000.0,264
2019,2019 Hyundai Kona Electric,"Automatic (A1), Electricity",120,132,108,36950.0,44900.0,258
2019,2019 Chevrolet Bolt EV,"Automatic (A1), Electricity",119,128,110,36620.0,41020.0,238
2019,2019 Volkswagen e-Golf,"Automatic (A1), Electricity",119,126,111,31895.0,38895.0,125
2019,2019 Tesla Model 3 Long Range AWD,"Automatic (A1), Electricity",116,120,112,,,310
2019,2019 Tesla Model 3 Long Range AWD Performance,"Automatic (A1), Electricity",116,120,112,56990.0,56990.0,310
2019,2019 Honda Clarity EV,"Automatic (A1), Electricity",114,126,103,36620.0,36620.0,89
2019,2019 BMW i3,"Automatic (A1), Electricity",113,124,102,,,153
2019,2019 BMW i3s,"Automatic (A1), Electricity",113,124,102,,,153
2019,2019 Nissan Leaf (40 kW-hr battery pack),"Automatic (A1), Electricity",112,124,99,29990.0,36200.0,150
2019,2019 Kia Niro Electric,"Automatic (A1), Electricity",112,123,102,38500.0,44000.0,239
2019,2019 Fiat 500e,"Automatic (A1), Electricity",112,121,103,33210.0,33210.0,84
2019,2019 Tesla Model S Long Range,"Automatic (A1), Electricity",111,115,107,79990.0,79990.0,370
2019,2019 Tesla Model S Standard Range,"Automatic (A1), Electricity",109,113,105,75000.0,75000.0,285
2019,2019 smart EQ fortwo (coupe),"Automatic (A1), Electricity",108,124,94,23900.0,26740.0,58
2019,2019 Kia Soul Electric,"Automatic (A1), Electricity",108,124,93,33950.0,35950.0,111
2019,2019 Nissan Leaf (62 kW-hr battery pack),"Automatic (A1), Electricity",108,118,97,36550.0,36550.0,226
2019,2019 Nissan Leaf SV/SL (62 kW-hr battery pack),"Automatic (A1), Electricity",104,114,94,38510.0,42550.0,215
2019,2019 Tesla Model S Performance (19in Wheels),"Automatic (A1), Electricity",104,104,104,99990.0,99990.0,345
2019,2019 Tesla Model S 75D,"Automatic (A1), Electricity",103,102,105,76000.0,76000.0,259
2019,2019 smart EQ fortwo (convertible),"Automatic (A1), Electricity",102,112,91,,,57
2019,2019 Tesla Model S 100D,"Automatic (A1), Electricity",102,101,102,,,335
2019,2019 Tesla Model S P100D,"Automatic (A1), Electricity",98,92,105,133000.0,133000.0,315
2019,2019 Tesla Model S Performance (21in Wheels),"Automatic (A1), Electricity",97,98,96,,,325
2019,2019 Tesla Model X Long Range,"Automatic (A1), Electricity",96,99,93,84990.0,84990.0,325
2019,2019 Tesla Model X 75D,"Automatic (A1), Electricity",93,91,95,82000.0,82000.0,238
2019,2019 Tesla Model X 100D,"Automatic (A1), Electricity",87,86,89,97000.0,97000.0,295
2019,2019 Tesla Model X P100D,"Automatic (A1), Electricity",85,83,89,138000.0,138000.0,289
2019,2019 Tesla Model X Performance (22in Wheels),"Automatic (A1), Electricity",79,80,77,104990.0,104990.0,270
2019,2019 Jaguar I-Pace,"Automatic (A1), Electricity",76,80,72,69500.0,85900.0,234
2019,2019 Audi e-tron,"Automatic (A1), Electricity",74,74,73,74800.0,81800.0,204
2020,2020 Tesla Model 3 Standard Range Plus,"Automatic (A1), Electricity",141,148,132,37990.0,37990.0,250
2020,2020 Hyundai Ioniq Electric,"Automatic (A1), Electricity",133,145,121,33045.0,38615.0,170
2020,2020 Tesla Model 3 Standard Range,"Automatic (A1), Electricity",131,138,124,,,220
2020,2020 Tesla Model 3 Long Range,"Automatic (A1), Electricity",130,136,123,,,330
2020,2020 Tesla Model 3 Mid Range,"Automatic (A1), Electricity",123,128,117,,,264
2020,2020 Tesla Model Y Performance AWD,"Automatic (A1), Electricity",121,129,112,59990.0,59990.0,315
2020,2020 Tesla Model Y Long Range AWD,"Automatic (A1), Electricity",121,127,114,48000.0,49990.0,316
2020,2020 Tesla Model 3 Long Range AWD,"Automatic (A1), Electricity",121,124,116,46990.0,46990.0,322
2020,2020 Tesla Model 3 Long Range Performance AWD (18in),"Automatic (A1), Electricity",121,124,116,54990.0,54990.0,322
2020,2020 Hyundai Kona Electric,"Automatic (A1), Electricity",120,132,108,37190.0,45400.0,258
2020,2020 Chevrolet Bolt EV,"Automatic (variable gear ratios), Electricity",118,127,108,36620.0,41020.0,259
2020,2020 Tesla Model S Long Range Plus,"Automatic (A1), Electricity",117,121,112,69420.0,69420.0,402
2020,2020 Tesla Model 3 Long Range Performance AWD (19in),"Automatic (A1), Electricity",116,119,112,54990.0,54990.0,304
2020,2020 Kia Soul Electric,"Automatic (A1), Electricity",114,127,101,,,243
2020,2020 BMW i3,"Automatic (A1), Electricity",113,124,102,44450.0,48300.0,153
2020,2020 BMW i3s,"Automatic (A1), Electricity",113,124,102,47650.0,51500.0,153
2020,2020 Tesla Model 3 Long Range Performance AWD (20in),"Automatic (A1), Electricity",113,118,107,54990.0,54990.0,299
2020,2020 Kia Niro Electric,"Automatic (A1), Electricity",112,123,102,39090.0,44590.0,239
